,,aLT,aLT,aLT,aLT,aLT,aLT,aLT,aLT,aLT,aLT
,,1.0,1.33333333,1.66666667,2.0,2.33333333,2.66666667,3.0,3.33333333,3.66666667,4.0
peaking,1.5,0.55525657,0.78965428,0.94114763,1.04129876,1.10808831,1.15259499,1.18196076,1.20093812,1.2127608,1.21966273
peaking,1.66666667,0.30947926,0.57192988,0.75135627,0.87761883,0.96722366,1.03104933,1.07655831,1.10896602,1.13196415,1.14819024
peaking,1.83333333,0.11214453,0.39602688,0.59122468,0.73461171,0.84095725,0.920017,0.9788843,1.02278864,1.05559384,1.08015795
peaking,2.0,-0.06643852,0.25158105,0.45634084,0.61014671,0.72816489,0.81886394,0.88856167,0.9421717,0.98349881,1.01546521
peaking,2.16666667,-0.2559608,0.12822814,0.34229274,0.50209313,0.62772236,0.72695611,0.80521335,0.86688094,0.91552797,0.95401137
peaking,2.33333333,-0.4861132,0.01560391,0.24466838,0.40832025,0.53850546,0.64365945,0.72846229,0.79668207,0.85153022,0.89569578
peaking,2.5,-0.78658663,-0.09665591,0.15905574,0.3266974,0.45938999,0.56833991,0.65793142,0.73134083,0.7913545,0.8404178
peaking,2.66666667,-1.18707197,-0.21891553,0.08104281,0.25509385,0.38925174,0.50036343,0.59324367,0.67062294,0.7348497,0.78807679
peaking,2.83333333,-1.71726012,-0.36153923,0.00621758,0.19137892,0.32696652,0.43909596,0.53402199,0.61429414,0.68186476,0.73857209
peaking,3.0,-2.406842,-0.53489122,-0.06983196,0.1334219,0.27141011,0.38390344,0.47988931,0.56212015,0.63224858,0.69180306
